Id,Birth date,Confession,Health status,Martial status,Child age,Child gender,Invalid child,Reports,Photo rights,Статус,Created at,Russian citizenship,Education
734,17 ноября 1988,Православие,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"октября 24, 2017 15:38",TRUE,"Университет, Институт, техникум"
735,11 августа 1998,Атеизм,отлично,Не женат (не замужем),16,Не имеет значения,FALSE,TRUE,TRUE,new,"октября 26, 2017 15:29",TRUE,"Университет, Институт, техникум"
736,6 ноября 1973,Православный,отлично,Разведён (разведена),15,Мужской,FALSE,TRUE,TRUE,new,"октября 27, 2017 18:04",TRUE,"Университет, Институт, техникум"
737,27 октября 1988,Христианин ,хорошо,Разведён (разведена),12,Не имеет значения,TRUE,TRUE,TRUE,new,"октября 30, 2017 06:34",TRUE,Общеобразовательная школа
738,27 августа 1993,православие,отлично,Гражданский брак,5,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 01, 2017 15:28",TRUE,"Университет, Институт, техникум"
739,30 июня 1989,Христианство,отлично,Не женат (не замужем),15,Не имеет значения,FALSE,TRUE,TRUE,new,"ноября 04, 2017 12:21",TRUE,"Университет, Институт, техникум"
740,1 октября 1977,нейтрально,хорошо,Женат (замужем),13,Не имеет значения,FALSE,TRUE,FALSE,new,"ноября 09, 2017 20:03",TRUE,"Университет, Институт, техникум"
741,27 апреля 1985,Православие,хорошо,Не женат (не замужем),13,Женский,FALSE,TRUE,TRUE,new,"ноября 11, 2017 15:19",TRUE,"Университет, Институт, техникум"
742,1 октября 1980,Православие,хорошо,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 12, 2017 13:54",TRUE,"Университет, Институт, техникум"
743,18 марта 1994,Христианство,отлично,Не женат (не замужем),10,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 13, 2017 19:34",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
744,6 августа 1984,Православие,хорошо,Разведён (разведена),13,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 14, 2017 10:59",TRUE,"Университет, Институт, техникум"
745,9 сентября 1993,Православие,хорошо,Не женат (не замужем),14,Женский,TRUE,TRUE,TRUE,approved,"ноября 15, 2017 03:14",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
746,2 октября 1991,Православие,отлично,Женат (замужем),13,Женский,FALSE,TRUE,TRUE,new,"ноября 15, 2017 04:20",TRUE,"Университет, Институт, техникум"
747,15 апреля 1985,атеизм,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,FALSE,new,"ноября 15, 2017 16:27",TRUE,"Университет, Институт, техникум"
748,24 июня 1975,христианка,отлично,Не женат (не замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"ноября 18, 2017 13:21",TRUE,"Университет, Институт, техникум"
749,11 января 1970,Православие,средне,Женат (замужем),13-Dec,Женский,FALSE,TRUE,TRUE,new,"ноября 19, 2017 14:22",TRUE,"Университет, Институт, техникум"
750,31 октября 1983,Православие,отлично,Женат (замужем),12,Женский,TRUE,TRUE,TRUE,new,"ноября 22, 2017 08:14",TRUE,"Университет, Институт, техникум"
751,2 марта 1993,Буддизм,хорошо,Не женат (не замужем),17,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 22, 2017 10:32",TRUE,"Университет, Институт, техникум"
